fecha_dato,ncodpers,ind_empleado,pais_residencia,sexo,age,fecha_alta,ind_nuevo,antiguedad,indrel,ult_fec_cli_1t,indrel_1mes,tiprel_1mes,indresi,indext,conyuemp,canal_entrada,indfall,tipodom,cod_prov,nomprov,ind_actividad_cliente,renta,segmento,ind_ahor_fin_ult1,ind_aval_fin_ult1,ind_cco_fin_ult1,ind_cder_fin_ult1,ind_cno_fin_ult1,ind_ctju_fin_ult1,ind_ctma_fin_ult1,ind_ctop_fin_ult1,ind_ctpp_fin_ult1,ind_deco_fin_ult1,ind_deme_fin_ult1,ind_dela_fin_ult1,ind_ecue_fin_ult1,ind_fond_fin_ult1,ind_hip_fin_ult1,ind_plan_fin_ult1,ind_pres_fin_ult1,ind_reca_fin_ult1,ind_tjcr_fin_ult1,ind_valo_fin_ult1,ind_viv_fin_ult1,ind_nomina_ult1,ind_nom_pens_ult1,ind_recibo_ult1
2015-01-28,1055198,N,ES,V,32,2012-08-31,0,34,1,NaN,1,A,S,N,NaN,KFC,N,1,38,SANTA CRUZ DE TENERIFE,1,65166.54,02 - PARTICULARES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2015-01-28,1048106,N,ES,V,23,2012-08-09,0,35,1,NaN,1,I,S,N,NaN,KHE,N,1,50,ZARAGOZA,0,169512.51,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,1027002,N,ES,H,25,2012-07-20,0,36,1,NaN,1,I,S,N,NaN,KHE,N,1,21,HUELVA,0,NaN,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,1098575,N,ES,V,29,2012-11-12,0,32,1,NaN,1,I,S,N,NaN,KHE,N,1,46,VALENCIA,0,NaN,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,1127288,N,ES,H,41,2013-04-09,0,27,1,NaN,1,A,S,N,NaN,KFC,N,1,1,ALAVA,1,NaN,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,1078058,N,ES,V,28,2012-10-09,0,33,1,NaN,1,I,S,N,NaN,KHE,N,1,3,ALICANTE,0,NaN,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,1073490,N,ES,H,27,2012-10-03,0,33,1,NaN,1,I,S,N,NaN,KHE,N,1,41,SEVILLA,0,NaN,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,939127,N,ES,H,23,2011-09-07,0,46,1,NaN,1,A,S,N,NaN,KHE,N,1,46,VALENCIA,0,73517.88,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,928468,N,ES,H,23,2011-08-18,0,47,1,NaN,1,I,S,N,NaN,KHE,N,1,29,MALAGA,0,59673.81,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,886165,N,ES,H,56,2010-07-19,0,60,1,NaN,1,A,S,N,NaN,KAZ,N,1,28,MADRID,1,NaN,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,881145,N,ES,H,29,2010-06-03,0,61,1,NaN,1,A,S,N,NaN,KFC,N,1,8,BARCELONA,1,135630.09,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,923521,N,ES,V,24,2011-07-29,0,48,1,NaN,1,I,S,N,NaN,KHE,N,1,14,CORDOBA,0,53827.77,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,987171,N,ES,V,33,2011-11-30,0,44,1,NaN,1,A,S,N,NaN,KHE,N,1,1,ALAVA,1,NaN,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015-01-28,987345,N,ES,H,29,2011-11-30,0,44,1,NaN,1,I,S,N,NaN,KHE,N,1,30,MURCIA,0,39483.24,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,1008572,N,ES,V,23,2012-03-13,0,40,1,NaN,1,A,S,N,NaN,KFA,N,1,28,MADRID,1,619971.03,03 - UNIVERSITARIO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-01-28,993633,N,ES,H,28,2011-12-13,0,43,1,NaN,1,I,S,N,NaN,KHE,N,1,28,MADRID,0,491918.13,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,997004,N,ES,V,49,2011-12-19,0,43,1,NaN,1,A,S,N,NaN,KFC,N,1,41,SEVILLA,1,44009.28,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,996936,N,ES,H,23,2011-12-19,0,43,1,NaN,1,I,S,N,NaN,KHE,N,1,28,MADRID,0,NaN,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,961864,N,ES,V,24,2011-10-14,0,45,1,NaN,1,I,S,N,NaN,KHE,N,1,29,MALAGA,0,76323.78,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,969196,N,ES,H,23,2011-10-26,0,45,1,NaN,1,A,S,N,NaN,KHE,N,1,10,CACERES,1,17397.42,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015-01-28,1289891,N,ES,H,20,2014-08-04,0,12,1,NaN,1,A,S,N,NaN,KHE,N,1,20,GIPUZKOA,1,NaN,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,1288998,N,ES,H,30,2014-08-04,0,12,1,NaN,1,A,S,S,NaN,KHE,N,1,47,VALLADOLID,0,45280.89,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,1311175,N,ES,V,20,2014-09-18,0,10,1,NaN,1,I,S,N,NaN,KHE,N,1,11,CADIZ,0,163551.6,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,1302140,N,ES,H,57,2014-09-04,0,11,1,NaN,1,A,S,N,NaN,KAT,N,1,15,"CORU?A, A",1,NaN,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,1256853,N,ES,H,22,2014-05-07,0,14,1,NaN,1,A,S,N,NaN,KFC,N,1,46,VALENCIA,1,82887.87,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
